Project Name,AL GAFOOR GRANDE CITY APARTMENT,,,,,,,,,
Expected Project Duration,60 MONTHS,,,,,,,,,
No of story of Project,G+13,,,,,,,,,
Carbon Emission,2613.93,,,,,,,,,
PHASE/STAGE OF CONSTUCTION,Equipment Name,Work,New/Old,Fuel Type (Diesel/Petrol),Fuel Consumption (Liter/day),Hours Operated,Emission Factor,Carbon Footprint,Unit,Unit (PPM)
Site Clearance,Backhoe,-,-,-,-,-,-,-,-,-
,Wheel Tractor Scrapers,-,-,-,-,-,-,-,-,-
,Bulldozers,-,-,-,-,-,-,-,-,-
,Dewatering Pump,-,-,-,-,-,-,-,-,-
,Loader,Moving Soil / Rocks,old,Diesel,100,6,2.64,264,Kg of CO2,-
,Dumper,Dumping Soil,Old,Diesel,30,6,2.64,79.2,Kg of CO2,-
Excavation,Excavators,Excavation,-,-,-,-,-,-,-,-
,Dumper,Moving excavated soil,Old,DIesel,30,5,2.64,79.2,Kg of CO2,-
,Dewatering Pump,Getting rid of water,-,-,-,-,-,-,-,-
,Bulldozer,-,Old,Diesel,50,4,2.64,132,Kg of CO2,-
Foundation,Concrete Mixer,-,old,Diesel,25,5,2.64,66,Kg of CO2,-
,Pile diver,-,-,-,-,-,-,-,-,-
,Trencher,-,-,-,-,-,-,-,-,-
,Transit Mixer,Concreting,Old,Diesel,50,5,2.64,132,Kg of CO2,-
,Static Pump,Concreting,-,-,-,-,-,-,-,-
Sub Structure Work,Mixer,Mixing Concrete,-,-,-,-,-,-,-,-
,Vibrator,Proper Compaction,-,-,-,-,-,-,-,-
"beam, wall, column construction",Mixer,Mixing Concrete,-,-,-,-,-,-,-,-
,Vibrator,Proper Compaction,-,-,-,-,-,-,-,-
Floor slab construction,Mixer,Mixing Concrete,Old,Diesel,70,7,2.64,184.8,-,-
,Vibrator,Proper Compaction,Old,Diesel,50,5,2.64,132,-,-
,Paver,-,-,-,-,-,-,-,-,-
Any other work:,,,,,,,,,,
Generator,,,new,petrol,40,4,2.35,94,Kg of CO2,
Total Carbon Footprint,,,,,445,,,1163.2,Kg of CO2,2613.93
